MonthDay;Hour of day;Consumption;Rate
12/21;0;0.28;Off-peak
12/21;1;0.33;Off-peak
12/21;2;0.3;Off-peak
12/21;3;0.29;Off-peak
12/21;4;0.29;Off-peak
12/21;5;0.31;Off-peak
12/21;6;0.28;Off-peak
12/21;7;0.29;Off-peak
12/21;8;0.4;On-peak
12/21;9;0.29;On-peak
12/21;10;0.39;On-peak
12/21;11;0.39;On-peak
12/21;12;1.82;Mid-peak
12/21;13;0.58;Mid-peak
12/21;14;0.3;Mid-peak
12/21;15;0.26;Mid-peak
12/21;16;0.42;Mid-peak
12/21;17;0.37;Mid-peak
12/21;18;0.31;On-peak
12/21;19;0.29;On-peak
12/21;20;0.28;Off-peak
12/21;21;0.3;Off-peak
12/21;22;0.27;Off-peak
12/21;23;0.28;Off-peak
12/22;0;0.42;Off-peak
12/22;1;0.27;Off-peak
12/22;2;0.3;Off-peak
12/22;3;0.25;Off-peak
12/22;4;0.29;Off-peak
12/22;5;0.26;Off-peak
12/22;6;0.26;Off-peak
12/22;7;0.27;Off-peak
12/22;8;0.29;On-peak
12/22;9;0.29;On-peak
12/22;10;0.35;On-peak
12/22;11;0.34;On-peak
12/22;12;0.35;Mid-peak
12/22;13;0.38;Mid-peak
12/22;14;0.34;Mid-peak
12/22;15;0.26;Mid-peak
12/22;16;0.33;Mid-peak
12/22;17;0.34;Mid-peak
12/22;18;0.35;On-peak
12/22;19;0.46;On-peak
12/22;20;0.38;Off-peak
12/22;21;0.46;Off-peak
12/22;22;1.64;Off-peak
12/22;23;0.43;Off-peak
12/23;0;1.4;Off-peak
12/23;1;0.31;Off-peak
12/23;2;0.31;Off-peak
12/23;3;0.28;Off-peak
12/23;4;0.38;Off-peak
12/23;5;0.32;Off-peak
12/23;6;0.28;Off-peak
12/23;7;0.3;Off-peak
12/23;8;0.37;On-peak
12/23;9;0.27;On-peak
12/23;10;0.36;On-peak
12/23;11;0.34;On-peak
12/23;12;0.32;Mid-peak
12/23;13;0.51;Mid-peak
12/23;14;0.33;Mid-peak
12/23;15;0.31;Mid-peak
12/23;16;0.38;Mid-peak
12/23;17;0.56;Mid-peak
12/23;18;0.89;On-peak
12/23;19;0.74;On-peak
12/23;20;0.68;Off-peak
12/23;21;0.67;Off-peak
12/23;22;1.04;Off-peak
12/23;23;3.23;Off-peak
12/24;0;0.71;Off-peak
12/24;1;0.32;Off-peak
12/24;2;0.29;Off-peak
12/24;3;0.29;Off-peak
12/24;4;0.3;Off-peak
12/24;5;0.32;Off-peak
12/24;6;0.28;Off-peak
12/24;7;0.31;Off-peak
12/24;8;0.29;Off-peak
12/24;9;0.3;Off-peak
12/24;10;0.35;Off-peak
12/24;11;0.42;Off-peak
12/24;12;0.27;Off-peak
12/24;13;0.47;Off-peak
12/24;14;3.66;Off-peak
12/24;15;0.53;Off-peak
12/24;16;1.45;Off-peak
12/24;17;1;Off-peak
